Время - Уставка	Давление [МПа] - Уставка	Время - Текущее	Давление [МПа] - Текущее	Время - ДД 38.2	Давление [МПа] - ДД 38.2
2394	0	2394	0,495238	2394	0,00459555
2394	0	2394	0,495238	2394	0,00459555
2394	0	2394	0,495238	2394	0,00709231
2394	0	2394	0,495238	2394	0,00709231
2394	0	2394	0,495238	2394	0,00848315
2394	0	2394	0,495238	2394	0,00848315
2394	0	2394	0,495238	2394	0,0117598
2394	0	2394	0,495238	2394	0,0117598
2395	0	2395	0,495238	2395	0,0156272
2395	0	2395	0,495238	2395	0,0156272
2395	0	2395	0,495238	2395	0,0156272
2395	0	2395	0,495238	2395	0,0193517
2395	0	2395	0,495238	2395	0,0193517
2395	0	2395	0,495238	2395	0,0181615
2395	0	2395	0,495238	2395	0,0181615
2395	0	2395	0,495238	2395	0,0205586
2395	0	2395	0,495238	2395	0,0205586
2396	0	2396	0,495238	2396	0,0205586
2396	0	2396	0,495238	2396	0,0264811
2396	0	2396	0,495238	2396	0,0264811
2396	0	2396	0,495238	2396	0,0282355
2396	0	2396	0,495238	2396	0,0282355
2396	0	2396	0,495238	2396	0,0242661
2396	0	2396	0,495238	2396	0,0242661
2396	0	2396	0,495238	2396	0,0262609
2396	0	2396	0,495238	2396	0,0262609
2396	0	2396	0,495238	2396	0,0262609
2396	0	2396	0,495238	2396	0,0228728
2397	0	2397	0,495238	2397	0,0228728
2397	0	2397	0,495238	2397	0,0152051
2397	0	2397	0,495238	2397	0,0152051
2397	0	2397	0,495238	2397	0,0185331
2397	0	2397	0,495238	2397	0,0185331
2397	0	2397	0,495238	2397	0,0185331
2397	0	2397	0,495238	2397	0,0201975
2397	0	2397	0,495238	2397	0,0201975
2397	0	2397	0,495238	2397	0,0250869
2398	0	2398	0,495238	2398	0,0250869
2398	0	2398	0,495238	2398	0,0323801
2398	0	2398	0,495238	2398	0,0323801
2398	0	2398	0,495238	2398	0,0268478
2398	0	2398	0,495238	2398	0,0268478
2398	0	2398	0,495238	2398	0,027005
2398	0	2398	0,495238	2398	0,027005
2398	0	2398	0,495238	2398	0,0231226
2398	0	2398	0,495238	2398	0,0231226
2398	0	2398	0,495238	2398	0,0237756
2398	0	2398	0,495238	2398	0,0237756
2399	0	2399	0,495238	2399	0,0175136
2399	0	2399	0,495238	2399	0,0175136
2399	0	2399	0,495238	2399	0,0212176
2399	0	2399	0,495238	2399	0,0212176
2399	0	2399	0,495238	2399	0,0239263
2399	0	2399	0,495238	2399	0,0239263
2399	0	2399	0,495238	2399	0,0239263
2399	0	2399	0,495238	2399	0,0241526
2399	0	2399	0,495238	2399	0,0241526
2400	0	2400	0,495238	2400	0,0258392
2400	0	2400	0,495238	2400	0,0258392
2400	0	2400	0,495238	2400	0,0230236
2400	0	2400	0,495238	2400	0,0230236
2400	0	2400	0,495238	2400	0,0263535
2400	0	2400	0,495238	2400	0,0263535
2400	0	2400	0,495238	2400	0,0263535
2400	0	2400	0,495238	2400	0,0210791
2400	0	2400	0,495238	2400	0,0210791
2400	0	2400	0,495238	2400	0,0177484
2400	0	2400	0,495238	2400	0,0177484
2401	0	2401	0,495238	2401	0,00786026
2401	0	2401	0,495238	2401	0,00786026
2401	0	2401	0,495238	2401	0,00786026
2401	0	2401	0,495238	2401	0,00469432
2401	0	2401	0,495238	2401	0,00469432
2401	0	2401	0,495238	2401	0,0192521
2401	0	2401	0,495238	2401	0,0192521
2401	0	2401	0,495238	2401	0,021864
2401	0	2401	0,495238	2401	0,021864
2402	0	2402	0,495238	2402	0,0282071
2402	0	2402	0,495238	2402	0,0282071
2402	0	2402	0,495238	2402	0,0282071
2402	0	2402	0,495238	2402	0,0298682
2402	0	2402	0,495238	2402	0,0298682
2402	0	2402	0,495238	2402	0,0367196
2402	0	2402	0,495238	2402	0,0367196
2402	0	2402	0,495238	2402	0,0350166
2402	0	2402	0,495238	2402	0,0350166
2402	0	2402	0,495238	2402	0,0298574
2402	0	2402	0,495238	2402	0,0298574
2403	0	2403	0,495238	2403	0,0277222
2403	0	2403	0,495238	2403	0,0277222
2403	0	2403	0,495238	2403	0,0255045
2403	0	2403	0,495238	2403	0,0255045
2403	0	2403	0,495238	2403	0,0221164
2403	0	2403	0,495238	2403	0,0221164
2403	0	2403	0,495238	2403	0,0221164
2403	0	2403	0,495238	2403	0,0304864
2403	0	2403	0,495238	2403	0,0304864
2404	0	2404	0,495238	2404	0,0307745
2404	0	2404	0,495238	2404	0,0307745
2404	0	2404	0,495238	2404	0,0307745
2404	0	2404	0,495238	2404	0,0286477
2404	0	2404	0,495238	2404	0,0286477
2404	0	2404	0,495238	2404	0,0257044
2404	0	2404	0,495238	2404	0,0257044
2404	0	2404	0,495238	2404	0,0257044
2404	0	2404	0,495238	2404	0,0202294
